	id	amo_updated_at	amo_trashed_at	amo_closed_at	amo_pipeline_id	amo_status_id	created_at_bq_timestamp	created_at_year	created_at_month	created_at_week	amo_city	drupal_utm	tilda_utm_source	tilda_utm_medium	tilda_utm_campaign	tilda_utm_content	tilda_utm_term	ct_utm_source	ct_utm_medium	ct_utm_campaign	ct_utm_content	ct_utm_term	ct_type_communication	ct_device	ct_os	ct_browser	amo_items_2019	amo_items_2020	lead_utm_source	lead_utm_medium	lead_utm_campaign	lead_utm_content	lead_utm_term
0	26906728	1603719528	1603719528.0		28752	29160522	2020-10-05 00:05:03	2020	10	41	Великий Устюг?																	7600/7600+					
1	26906738	1602230976	1602230976.0		7038	28985871	2020-10-05 00:30:03	2020	10	41	Санкт-Петербург																						
2	26886518	1601375970			3161127	32274075	2020-09-28 10:17:03	2020	09	40		source=yandex, medium=search, campaign=7600, keyword=46841884-3996160087-8165967973--1--none--сайт_визитка, content=web																	yandex	search	7600	web	
3	26887462	1601377620	1601377620.0		7038	28985871	2020-09-28 13:02:03	2020	09	40	Москва	source=google, medium=context, campaign=blue, keyword=1351759424-77001425413-378733477874--none--doneto.ru--, content=cntx																	google	context	blue	cntx	
4	26888662	1601378362			3256176	33484629	2020-09-28 17:00:55	2020	09	40																							
5	26889702	1601359927			3256176	33484629	2020-09-29 09:11:58	2020	09	40																							
6	26889710	1601360067			3256176	33484629	2020-09-29 09:14:18	2020	09	40																							
7	26889734	1601391651			3256176	32936946	2020-09-29 09:21:31	2020	09	40																							
8	26889768	1601375875			3256176	33484629	2020-09-29 09:31:38	2020	09	40																							
9	26889822	1601454428			3256176	33484629	2020-09-29 09:46:42	2020	09	40																							
10	26889846	1601362441			3256176	33484629	2020-09-29 09:52:32	2020	09	40																							
11	26889876	1601365990			3256176	33484629	2020-09-29 10:01:44	2020	09	40																							
12	26889896	1601363359			3256176	33484629	2020-09-29 10:04:14	2020	09	40																							
13	26889926	1601363214			3256176	33484629	2020-09-29 10:06:47	2020	09	40																							
14	26889952	1601363349			3256176	33484629	2020-09-29 10:08:56	2020	09	40																							
15	26889968	1601368673			3256176	33484629	2020-09-29 10:11:18	2020	09	40																							
16	26890028	1601364168			3256176	33484629	2020-09-29 10:19:10	2020	09	40																							
17	26890214	1601377596	1601377596.0		28752	29160522	2020-09-29 10:53:03	2020	09	40	Новосибирск	source=yandex, medium=search, campaign=25600, keyword=51142350-4167706646-8921252279--2--none--создать_интернет_магазин, content=web																ИМ (типовые)	yandex	search	25600	web	
18	26890248	1601532712	1601532712.0		28752	29160522	2020-09-29 11:00:49	2020	09	40	?																	ИМ (типовые)					
19	26891204	1601537577	1601537577.0		7038	28985871	2020-09-29 14:21:54	2020	09	40	Липецк																	SEO					
20	26894966	1601532686	1601532686.0		28752	29160522	2020-09-30 15:17:38	2020	09	40	?																	ИМ (типовые)					
21	26895058	1601545059			3256176	32936793	2020-09-30 15:35:02	2020	09	40																							
22	26895066	1601469414			3256176	33484629	2020-09-30 15:36:45	2020	09	40																							
23	26895140	1601470316			3256176	32936946	2020-09-30 15:51:55	2020	09	40																							
24	26895164	1601535217			3256176	33484629	2020-09-30 15:56:29	2020	09	40																							
25	26895172	1601470776			3256176	32936793	2020-09-30 15:59:35	2020	09	40																							
26	26895212	1601472538			3256176	32936946	2020-09-30 16:06:14	2020	09	40																							
27	26896324	1601535277			3161127	32274075	2020-09-30 20:45:04	2020	09	40		source=yandex, medium=context, campaign=7600, keyword=51230587-4170677131-8936469413--0--smart-lab.ru--заказать_лендинг, content=web																	yandex	context	7600	web	
28	26896894	1601536321			3256176	33484629	2020-10-01 09:41:28	2020	10	40																							
29	26896922	1601534783			3256176	33484629	2020-10-01 09:46:22	2020	10	40																							
30	26896930	1601535021			3256176	33484629	2020-10-01 09:50:20	2020	10	40																							
31	26896952	1601535170			3256176	33484629	2020-10-01 09:52:49	2020	10	40																							
32	26897378	1601538622			3256176	32936793	2020-10-01 10:48:35	2020	10	40																							
33	26897640	1601560584			3161127	32274075	2020-10-01 11:33:02	2020	10	40		source=yandex, medium=search, campaign=7600, keyword=51083635-4165119151-8907955256--2--none--разработка_сайта_недорого_под_ключ, content=web																	yandex	search	7600	web	
34	26886398	1604556688			28752	32809194	2020-09-28 07:57:04	2020	09	40	Заринск																	7600/7600+,7600/7600+					
35	26886182	1602225929		1602164201.0	7038	142	2020-09-28 08:26:42	2020	09	40	Красноярск																	Яндекс					
36	26886482	1603800109			938197	17960494	2020-09-28 10:11:09	2020	09	40	Симферополь																	Яндекс					
